K/F;vol
0.025;0.64
0.04;0.6
0.074;0.595
0.1;0.54
0.125;0.51
0.1875;0.47
0.26;0.425
0.37;0.375
0.52;0.325
0.7;0.285
1;0.25
1.375;0.229
1.9;0.221
2.75;0.2187
3.75;0.2186
5.375;0.218
7.5;0.217
10.4;0.216
